Id,Suburb,Address,Rooms,Type,Price,Postcode,Bedrooms,Bathrooms,LandSize,BuildingArea,YearBuilt,CouncilArea,Region,PropertyCount
656383600,Abbotsford,68 Studley St,2,h,1143384,3067,2,1,126,431,1946,Yarra City Council,Northern Metropolitan,4019
223093719,Abbotsford,85 Turner St,2,h,1480000,3067,2,1,202,431,1946,Yarra City Council,Northern Metropolitan,4019
998104759,Abbotsford,25 Bloomburg St,2,h,1035000,3067,2,1,156,79,1900,Yarra City Council,Northern Metropolitan,4019
409803011,Abbotsford,18/659 Victoria St,3,u,1143384,3067,3,2,482,431,1946,Yarra City Council,Northern Metropolitan,4019
734091667,Abbotsford,5 Charles St,3,h,1465000,3067,3,2,134,150,1900,Yarra City Council,Northern Metropolitan,4019
982984332,Abbotsford,40 Federation La,3,h,850000,3067,3,2,94,431,1946,Yarra City Council,Northern Metropolitan,4019
660069805,Abbotsford,55a Park St,4,h,1600000,3067,3,1,120,142,2014,Yarra City Council,Northern Metropolitan,4019
251425214,Abbotsford,16 Maugie St,4,h,1143384,3067,3,2,400,220,2006,Yarra City Council,Northern Metropolitan,4019
858886045,Abbotsford,53 Turner St,2,h,1143384,3067,4,1,201,431,1900,Yarra City Council,Northern Metropolitan,4019
430414612,Abbotsford,99 Turner St,2,h,1143384,3067,3,2,202,431,1900,Yarra City Council,Northern Metropolitan,4019
924553498,Abbotsford,129 Charles St,2,h,941000,3067,2,1,181,431,1946,Yarra City Council,Northern Metropolitan,4019
819089533,Abbotsford,124 Yarra St,3,h,1876000,3067,4,2,245,210,1910,Yarra City Council,Northern Metropolitan,4019
676885323,Abbotsford,121/56 Nicholson St,2,u,1143384,3067,2,2,4292,82,2009,Yarra City Council,Northern Metropolitan,4019
275108903,Abbotsford,17 Raphael St,4,h,1143384,3067,6,2,230,147,1860,Yarra City Council,Northern Metropolitan,4019
784584345,Abbotsford,98 Charles St,2,h,1636000,3067,2,1,256,107,1890,Yarra City Council,Northern Metropolitan,4019
481984904,Abbotsford,217 Langridge St,3,h,1000000,3067,2,1,482,431,1946,Yarra City Council,Northern Metropolitan,4019
691553931,Abbotsford,18a Mollison St,2,t,745000,3067,2,1,482,431,1946,Yarra City Council,Northern Metropolitan,4019
200804137,Abbotsford,6/241 Nicholson St,1,u,300000,3067,1,1,482,431,1946,Yarra City Council,Northern Metropolitan,4019
328877774,Abbotsford,10 Valiant St,2,h,1097000,3067,3,1,220,75,1900,Yarra City Council,Northern Metropolitan,4019
358497694,Abbotsford,403/609 Victoria St,2,u,542000,3067,2,1,482,431,1946,Yarra City Council,Northern Metropolitan,4019
450219113,Abbotsford,2 Rich St,2,h,1143384,3067,2,1,176,80,1925,Yarra City Council,Northern Metropolitan,4019
448743318,Abbotsford,25/84 Trenerry Cr,2,u,760000,3067,2,1,482,431,1946,Yarra City Council,Northern Metropolitan,4019
200955967,Abbotsford,106/119 Turner St,1,u,481000,3067,2,1,482,431,1946,Yarra City Council,Northern Metropolitan,4019
277736156,Abbotsford,411/8 Grosvenor St,2,u,700000,3067,2,2,482,431,1946,Yarra City Council,Northern Metropolitan,4019
