Suburb,Address,Rooms,Type,Price,Postcode,Bedrooms,Bathrooms,LandSize,BuildingArea,YearBuilt,CouncilArea,Region,PropertyCount
Abbotsford,68 Studley St,2,h,7878120,3067,2,1,126,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,85 Turner St,2,h,4642699,3067,2,1,202,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,25 Bloomburg St,2,h,2341778,3067,2,1,156,79,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,18/659 Victoria St,3,u,341285,3067,3,2,593,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,5 Charles St,3,h,1165350,3067,3,2,134,150,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,40 Federation La,3,h,3700381,3067,3,2,94,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,55a Park St,4,h,1131716,3067,3,1,120,142,2014,Yarra City Council,Northern Metropolitan,4019
Abbotsford,16 Maugie St,4,h,10004998,3067,3,2,400,220,2006,Yarra City Council,Northern Metropolitan,4019
Abbotsford,53 Turner St,2,h,5095980,3067,4,1,201,168,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,99 Turner St,2,h,4004148,3067,3,2,202,168,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,129 Charles St,2,h,9934330,3067,2,1,181,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,h,4264663,3067,4,2,245,210,1910,Yarra City Council,Northern Metropolitan,4019
Abbotsford,121/56 Nicholson St,2,u,6942305,3067,2,2,4292,82,2009,Yarra City Council,Northern Metropolitan,4019
Abbotsford,17 Raphael St,4,h,5266522,3067,6,2,230,147,1860,Yarra City Council,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,h,4483463,3067,2,1,256,107,1890,Yarra City Council,Northern Metropolitan,4019
Abbotsford,217 Langridge St,3,h,9161124,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,18a Mollison St,2,t,8988847,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,6/241 Nicholson St,1,u,449768,3067,1,1,593,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,h,11086739,3067,3,1,220,75,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,403/609 Victoria St,2,u,252990,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2 Rich St,2,h,5320382,3067,2,1,176,80,1925,Yarra City Council,Northern Metropolitan,4019
Abbotsford,25/84 Trenerry Cr,2,u,6763140,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,106/119 Turner St,1,u,6237400,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,411/8 Grosvenor St,2,u,10385765,3067,2,2,593,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,40 Nicholson St,3,h,248651,3067,3,2,214,190,2005,Yarra City Council,Northern Metropolitan,4019
Abbotsford,123/56 Nicholson St,2,u,7191868,3067,2,2,593,94,2009,Yarra City Council,Northern Metropolitan,4019
Abbotsford,22 Park St,4,h,9998669,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,13/84 Trenerry Cr,1,u,5018606,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,45 William St,2,h,5522850,3067,2,1,195,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,7/20 Abbotsford St,1,u,5067382,3067,1,1,593,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,16 William St,2,h,3881757,3067,2,1,238,97,1890,Yarra City Council,Northern Metropolitan,4019
Abbotsford,16/11 Nicholson St,3,u,8655771,3067,3,2,593,129,2010,Yarra City Council,Northern Metropolitan,4019
Abbotsford,42 Henry St,3,h,2104256,3067,3,2,113,110,1880,Yarra City Council,Northern Metropolitan,4019
Abbotsford,250 Langridge St,2,t,7798648,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,16b Mollison St,2,h,10737200,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,78 Yarra St,3,h,5247618,3067,2,1,138,105,1890,Yarra City Council,Northern Metropolitan,4019
Abbotsford,196 Nicholson St,3,h,10294766,3067,3,1,183,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,42 Valiant St,2,h,1531922,3067,2,1,150,73,1985,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3/72 Charles St,4,h,2087925,3067,4,2,780,135,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1/1 Mayfield St,3,h,1032232,3067,3,2,119,167,2005,Yarra City Council,Northern Metropolitan,4019
Abbotsford,13/11 Nicholson St,3,t,1502860,3067,3,2,593,168,2010,Yarra City Council,Northern Metropolitan,4019
Abbotsford,138/56 Nicholson St,3,u,4536501,3067,3,2,4290,27,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,6/219 Nicholson St,2,u,4277385,3067,2,1,593,60,1970,Yarra City Council,Northern Metropolitan,4019
Abbotsford,52a William St,2,h,10596717,3067,2,2,124,135,2013,Yarra City Council,Northern Metropolitan,4019
Abbotsford,49 Park St,2,h,3276729,3067,2,1,147,85,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,65/80 Trenerry Cr,1,u,6395292,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,119/52 Nicholson St,1,u,10624506,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,8b Park St,4,h,668990,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,5/20 Abbotsford St,1,u,573683,3067,1,1,593,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,48 Abbotsford St,3,h,5954500,3067,3,3,166,174,2012,Yarra City Council,Northern Metropolitan,4019
Abbotsford,116/56 Nicholson St,1,u,4835578,3067,1,1,593,50,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,159 Park St,2,h,6108236,3067,2,2,98,128,1920,Yarra City Council,Northern Metropolitan,4019
Abbotsford,49/84 Trenerry Cr,2,h,2959224,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,31 Turner St,4,h,1166723,3067,4,3,593,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,17/1 Abbot St,3,t,3519949,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,166 Gipps St,3,h,9734784,3067,3,2,147,18,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,60 Stafford St,3,h,7914878,3067,3,1,168,124,1950,Yarra City Council,Northern Metropolitan,4019
