Suburb,Address,Date,Type,Bedroom2,Bathroom,Car,Price,Distance,Landsize,Lattitude,Postcode,Regionname
Caroline Springs,1 Aberfeldie Wy,2018-02-03,house,5.0,3.0,2.0,680000.0,14.8,,-37.72705,3023.0,Western Metropolitan
Reservoir,1 Acheron Av,2017-06-17,house,,,,890000.0,12.0,,,3073.0,Northern Metropolitan
Doncaster,1 Adelle Ct,2017-04-29,house,3.0,2.0,2.0,1700000.0,13.9,820.0,-37.7803,3108.0,Eastern Metropolitan
Brighton,1 Airlie St,2017-09-16,house,3.0,1.0,3.0,1342000.0,10.5,287.0,-37.88879,3186.0,Southern Metropolitan
Hoppers Crossing,1 Albion Ct,2017-09-23,house,3.0,2.0,2.0,650000.0,18.4,913.0,-37.85152,3029.0,Western Metropolitan
Brighton East,1 Alexander St,2016-11-12,house,3.0,2.0,2.0,1301000.0,10.7,401.0,-37.9062,3187.0,Southern Metropolitan
Aberfeldie,1 Alma St,2017-09-03,house,4.0,3.0,3.0,1436000.0,7.5,511.0,-37.75788,3040.0,Western Metropolitan
Pascoe Vale,1 Amber Ct,2017-12-09,unit,,,,496000.0,8.5,,-37.7168,3044.0,Northern Metropolitan
Hoppers Crossing,1 Arcadian Pl,2018-02-17,house,3.0,2.0,2.0,646000.0,18.4,573.0,-37.85263,3029.0,Western Metropolitan
Braybrook,1 Arthur St,2016-11-19,house,2.0,1.0,1.0,660000.0,10.8,599.0,-37.7908,3019.0,Western Metropolitan
Oak Park,1 Ash Gr,2017-04-08,house,3.0,1.0,2.0,955000.0,11.5,690.0,-37.7167,3046.0,Northern Metropolitan
Lalor,1 Ashdown Ct,2017-08-26,house,3.0,1.0,2.0,671000.0,16.3,418.0,-37.66349,3075.0,Northern Metropolitan
Glen Waverley,1 Aston Hth,2017-10-28,house,,,,1329000.0,16.7,,-37.88708,3150.0,Eastern Metropolitan
Moonee Ponds,1 Athol St,2016-09-10,house,4.0,2.0,2.0,1350000.0,6.9,447.0,-37.7704,3039.0,Western Metropolitan
Bentleigh,1 Auckland St,2017-12-09,house,3.0,1.0,2.0,1300000.0,11.4,585.0,-37.92647,3204.0,Southern Metropolitan
Hawthorn East,1 Avenue Victoria,2016-06-27,house,3.0,1.0,2.0,2040000.0,7.5,783.0,-37.8234,3123.0,Southern Metropolitan
Vermont,1 Bahama Ct,2017-06-03,house,4.0,2.0,2.0,1270000.0,17.2,600.0,-37.83944,3133.0,Eastern Metropolitan
Fawkner,1 Baird St,2017-05-20,house,3.0,2.0,1.0,687000.0,12.4,577.0,-37.7071,3060.0,Northern Metropolitan
Strathmore,1 Balmoral Av,2016-08-28,house,,,,1500000.0,9.7,,,3041.0,Western Metropolitan
Heidelberg West,1 Bardia St,2017-07-01,house,3.0,1.0,0.0,726500.0,8.8,593.0,-37.7482,3081.0,Eastern Metropolitan
Hadfield,1 Barunah St,2016-08-13,house,3.0,1.0,2.0,777000.0,12.1,700.0,-37.704,3046.0,Northern Metropolitan
Eltham,1 Batman Rd,2017-11-11,house,,,,986000.0,18.0,,,3095.0,Eastern Metropolitan
Elsternwick,1 Baxter St,2017-06-17,house,3.0,1.0,0.0,1460000.0,7.2,377.0,-37.88783,3185.0,Southern Metropolitan
Templestowe Lower,1 Beacon Ct,2016-11-19,house,4.0,2.0,2.0,975000.0,13.8,953.0,-37.7625,3107.0,Eastern Metropolitan
Clayton,1 Beddoe Av,2017-06-24,house,,,,2115000.0,16.7,,,3168.0,South-Eastern Metropolitan
Craigieburn,1 Bee Ct,2018-02-10,house,3.0,1.0,0.0,520000.0,20.6,583.0,-37.59706,3064.0,Northern Metropolitan
Preston,1 Bellarine St,2017-03-18,house,4.0,2.0,2.0,1400000.0,8.8,559.0,-37.7347,3072.0,Northern Metropolitan
Preston,1 Bellarine St,2017-06-03,house,5.0,2.0,2.0,1400000.0,8.4,558.0,-37.73472,3072.0,Northern Metropolitan
Derrimut,1 Belvoir Gdns,2017-07-08,house,4.0,2.0,2.0,750000.0,14.7,655.0,-37.79571,3030.0,Western Metropolitan
Elsternwick,1 Bent St,2017-03-18,house,3.0,1.0,1.0,2160000.0,8.5,590.0,-37.8807,3185.0,Southern Metropolitan
Mulgrave,1 Bentley Ct,2018-02-10,house,4.0,2.0,1.0,880000.0,18.8,652.0,-37.92569,3170.0,South-Eastern Metropolitan
Spotswood,1 Bernard St,2017-06-24,house,3.0,1.0,2.0,785000.0,6.2,343.0,-37.83187,3015.0,Western Metropolitan
Yarraville,1 Berry St,2017-10-14,house,4.0,2.0,2.0,1700000.0,6.3,,-37.81185,3013.0,Western Metropolitan
Ormond,1 Bethell St,2016-08-06,house,3.0,2.0,2.0,1256000.0,11.8,378.0,-37.9064,3204.0,Southern Metropolitan
Broadmeadows,1 Bicknell Ct,2017-12-09,house,3.0,1.0,1.0,500000.0,14.0,404.0,-37.69412,3047.0,Northern Metropolitan
Jacana,1 Biltris Ct,2017-10-14,house,3.0,1.0,0.0,570000.0,14.0,723.0,-37.69064,3047.0,Northern Metropolitan
